,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
0,ambilobe,-13.2,49.05,24.94,74,79,1.54,MG,1604770430
1,hithadhoo,-0.6,73.08,28.62,72,86,3.66,MV,1604770310
2,enid,36.4,-97.88,21.11,56,1,8.7,US,1604770310
3,bredasdorp,-34.53,20.04,18.0,63,63,7.2,ZA,1604770315
4,tuktoyaktuk,69.45,-133.04,-3.0,86,75,9.8,CA,1604770308
5,bengkulu,-3.8,102.27,25.3,87,100,2.1,ID,1604770174
6,plouzane,48.38,-4.62,15.0,100,100,5.1,FR,1604770530
7,cidreira,-30.18,-50.21,21.7,72,7,7.18,BR,1604770361
8,asyut,27.18,31.18,22.0,49,0,5.1,EG,1604770376
9,punta arenas,-53.15,-70.92,15.0,54,75,12.3,CL,1604770308
10,busselton,-33.65,115.33,12.78,66,12,1.37,AU,1604770383
11,subiaco,41.93,13.09,14.44,99,0,0.45,IT,1604770531
12,kencong,-8.28,113.37,24.75,82,3,0.83,ID,1604770531
13,saskylakh,71.92,114.08,-22.78,89,8,2.64,RU,1604769965
14,mar del plata,-38.0,-57.56,19.0,77,40,4.6,AR,1604769962
15,rawson,-43.3,-65.1,21.45,33,50,11.16,AR,1604770345
16,butaritari,3.07,172.79,27.0,75,100,5.04,KI,1604769947
17,cape town,-33.93,18.42,17.22,77,40,7.7,ZA,1604769675
18,san patricio,28.02,-97.52,26.11,69,40,4.6,US,1604770532
19,chokurdakh,70.63,147.92,-16.5,95,100,3.06,RU,1604770532
20,bluff,-46.6,168.33,7.78,79,80,3.13,NZ,1604770404
21,saint-denis,48.92,2.33,14.0,82,0,1.5,FR,1604770532
22,dubai,25.26,55.3,28.0,58,0,2.6,AE,1604770532
23,asosa,10.07,34.53,18.25,63,66,1.6,ET,1604770532
24,geraldton,-28.77,114.6,20.0,82,90,3.6,AU,1604770533
25,kapaa,22.08,-159.32,25.0,88,90,3.1,US,1604770533
26,avarua,-21.21,-159.78,21.0,100,100,2.7,CK,1604770305
27,kaabong,3.48,34.15,22.08,62,58,6.35,UG,1604770533
28,ewa beach,21.32,-158.01,24.0,88,75,2.1,US,1604770533
29,rikitea,-23.12,-134.97,21.79,75,75,9.1,PF,1604770306
30,entebbe,0.06,32.45,24.0,73,20,4.1,UG,1604770533
31,vostok,46.49,135.88,-5.32,99,92,0.99,RU,1604770378
32,port alfred,-33.59,26.89,20.84,84,37,4.84,ZA,1604770308
33,husavik,66.04,-17.34,6.0,60,75,8.2,IS,1604770373
34,atuona,-9.8,-139.03,25.32,72,48,7.52,PF,1604770314
35,brake,53.33,8.48,8.89,95,23,2.24,DE,1604770534
36,jamestown,42.1,-79.24,18.89,48,1,5.1,US,1604770312
37,barrow,71.29,-156.79,-1.0,86,90,9.3,US,1604770316
38,bucerias,20.75,-105.33,29.0,51,5,1.5,MX,1604770534
39,hirara,24.8,125.28,25.64,88,15,4.21,JP,1604770321
40,srandakan,-7.94,110.25,25.35,80,28,0.55,ID,1604770432
41,guaratinga,-16.57,-39.57,27.0,78,75,5.1,BR,1604770328
42,punta cardon,11.66,-70.22,29.22,70,92,2.2,VE,1604770535
43,santiago del estero,-27.8,-64.26,33.89,27,19,3.58,AR,1604770453
44,taoudenni,22.68,-3.98,30.16,14,54,2.11,ML,1604770316
45,capaci,38.17,13.24,19.0,72,0,2.1,IT,1604770535
46,waingapu,-9.66,120.26,26.99,72,33,1.25,ID,1604770339
47,trofors,65.53,13.41,6.0,70,67,4.6,NO,1604770384
48,alofi,-19.06,-169.92,22.0,88,3,3.6,NU,1604770330
49,dingle,11.0,122.67,23.06,92,100,1.59,PH,1604770377
50,yellowknife,62.46,-114.35,-12.78,84,90,2.1,CA,1604770206
51,trogir,43.51,16.25,14.44,67,0,1.5,HR,1604770536
52,qaqortoq,60.72,-46.03,0.0,94,75,1.85,GL,1604770355
53,bambous virieux,-20.34,57.76,23.0,78,40,3.6,MU,1604770372
54,lebu,-37.62,-73.65,14.03,58,0,9.48,CL,1604770301
55,victoria,22.29,114.16,25.56,50,5,4.02,HK,1604770046
56,hobart,-42.88,147.33,6.11,86,0,2.6,AU,1604770132
57,wasco,35.59,-119.34,8.33,93,90,2.6,US,1604770462
58,salalah,17.02,54.09,26.0,61,0,2.1,OM,1604770354
59,caronport,50.45,-105.82,-1.0,74,100,7.2,CA,1604770537
60,baykit,61.67,96.37,-7.82,94,100,1.28,RU,1604770479
61,dezful,32.38,48.41,20.81,31,100,1.21,IR,1604770537
62,albany,42.6,-73.97,21.11,38,37,1.3,US,1604770317
63,tura,25.52,90.22,18.31,84,0,1.94,IN,1604770538
64,mataura,-46.19,168.86,7.78,79,100,3.13,NZ,1604770310
65,pervomayskiy,53.25,40.29,3.89,78,8,4.21,RU,1604770538
66,meulaboh,4.14,96.13,25.04,85,97,1.58,ID,1604770365
67,ancud,-41.87,-73.82,17.0,51,0,6.7,CL,1604770538
68,airai,-8.93,125.41,16.97,62,81,0.71,TL,1604770302
69,qaanaaq,77.48,-69.36,-24.85,71,0,2.62,GL,1604770334
70,bilibino,68.05,166.44,-19.07,89,88,0.71,RU,1604770383
71,provideniya,64.38,-173.3,-1.29,93,49,5.14,RU,1604770330
72,saint-philippe,-21.36,55.77,24.0,73,90,5.1,RE,1604770314
73,honiara,-9.43,159.95,25.27,78,7,1.58,SB,1604770344
74,ushuaia,-54.8,-68.3,16.0,44,75,7.2,AR,1604770283
75,sola,-13.88,167.55,27.38,82,39,6.37,VU,1604770353
76,erenhot,43.65,111.98,-2.23,80,0,2.74,CN,1604770329
77,new norfolk,-42.78,147.06,6.11,70,2,1.09,AU,1604770336
